"Apellido","Nombre","Distrito","IniciaMandato","FinalizaMandato","Bloque"
"Aguirre","Hilda Clelia","LA RIOJA","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Aguirre","Manuel Ignacio","CORRIENTES","10/12/2021","09/12/2025","UCR"
"Ajmechet","Sabrina","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","PRO"
"Alderete","Juan Carlos","BUENOS AIRES","19/12/2019","09/12/2023","FRENTE DE TODOS"
"Alianiello","Eugenia","CHUBUT","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Allende","Walberto","SAN JUAN","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Alonso","Constanza María","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Álvarez","Felipe","LA RIOJA","10/12/2019","09/12/2023","SER - SOMOS ENERGIA PARA RENOVAR"
"Amaya","Domingo Luis","TUCUMAN","10/12/2019","09/12/2023","ENCUENTRO FEDERAL"
"Angelini","Federico","SANTA FE","10/12/2019","09/12/2023","PRO"
"Antola","Marcela","ENTRE RIOS","10/12/2021","09/12/2025","EVOLUCION RADICAL"
"Aparicio","Alicia N.","BUENOS AIRES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Arjol","Martín","MISIONES","10/12/2021","09/12/2025","UCR"
"Arricau","Carolina Natalia","BUENOS AIRES","01/12/2022","09/12/2023","FRENTE DE TODOS"
"Arroyo","Daniel","BUENOS AIRES","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Ascarate","Lidia Inés","TUCUMAN","10/12/2019","09/12/2023","UCR"
"Asseff","Alberto","BUENOS AIRES","10/12/2019","09/12/2023","PRO"
"Aubone","Ana Fabiola","SAN JUAN","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Bachey","Karina Ethel","SAN LUIS","10/12/2021","09/12/2025","PRO"
"Baldassi","Héctor W.","CORDOBA","10/12/2021","09/12/2025","PRO"
"Banfi","Karina","BUENOS AIRES","10/12/2019","09/12/2023","UCR"
"Barbaro","Héctor 'Cacho'","MISIONES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Barletta","Mario","SANTA FE","10/12/2021","09/12/2025","UCR"
"Bazze","Miguel Ángel","BUENOS AIRES","10/12/2019","09/12/2023","UCR"
"Benedetti","Atilio","ENTRE RIOS","05/07/2023","09/12/2025","UCR"
"Berhongaray","Martín Antonio","LA PAMPA","10/12/2019","09/12/2023","EVOLUCION RADICAL"
"Bermejo","Adolfo","MENDOZA","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Bertoldi","Tanya","NEUQUEN","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Bertone","Rosana Andrea","TIERRA DEL FUEGO","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Besana","Gabriela","BUENOS AIRES","10/12/2021","09/12/2025","PRO"
"Borda","Fabian Antonio","CORRIENTES","16/12/2021","09/12/2023","FRENTE DE TODOS"
"Bormioli","Lisandro","BUENOS AIRES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Borrego","Victoria","BUENOS AIRES","10/12/2021","09/12/2025","COALICIÓN CÍVICA"
"Brambilla","Sofía","CORRIENTES","10/12/2021","09/12/2025","PRO"
"Brawer","Mara","CIUDAD DE BUENOS AIRES","19/12/2019","09/12/2023","FRENTE DE TODOS"
"Bregman","Myriam","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","PTS - FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD"
"Britez","María Cristina","MISIONES","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Brouwer De Koning","Gabriela","CORDOBA","10/12/2021","09/12/2025","EVOLUCION RADICAL"
"Brue","Daniel Agustín","SANTIAGO DEL ESTERO","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Buryaile","Ricardo","FORMOSA","10/12/2019","09/12/2023","UCR"
"Cacace","Alejandro","SAN LUIS","10/12/2019","09/12/2023","EVOLUCION RADICAL"
"Caliva","Lía Verónica","SALTA","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Calletti","Pamela","SALTA","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Camaño","Graciela","BUENOS AIRES","10/12/2019","09/12/2023","IDENTIDAD BONAERENSE"
"Campagnoli","Marcela","BUENOS AIRES","10/12/2021","09/12/2025","COALICIÓN CÍVICA"
"Caparros","Mabel Luisa","TIERRA DEL FUEGO","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Carasso","Marcos Gustavo","CORDOBA","16/12/2021","09/12/2023","UCR"
"Carbajal","Fernando","FORMOSA","10/12/2021","09/12/2025","UCR"
"Carnaghi","Guillermo Oscar","NEUQUEN","24/09/2020","09/12/2023","FRENTE DE TODOS"
"Carrizo","Ana Carla","CIUDAD DE BUENOS AIRES","10/12/2021","09/12/2025","EVOLUCION RADICAL"
"Carrizo","Nilda Mabel","TUCUMAN","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Carrizo","Soledad","CORDOBA","10/12/2021","09/12/2025","UCR"
"Carro","Pablo","CORDOBA","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Casaretto","Marcelo Pablo","ENTRE RIOS","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Casas","Sergio Guillermo","LA RIOJA","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Caselles","Graciela María","SAN JUAN","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Castets","Laura Carolina","SANTA FE","10/12/2019","09/12/2023","VALORES REPUBLICANOS"
"Cervi","Pablo","NEUQUEN","10/12/2021","09/12/2025","EVOLUCION RADICAL"
"Chaher","Leila","JUJUY","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Chahla","Rossana","TUCUMAN","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Chomiak","María Luisa","CHACO","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Chumpitaz","Gabriel Felipe","SANTA FE","10/12/2021","09/12/2025","PRO"
"Cipolini","Gerardo","CHACO","10/12/2019","09/12/2023","UCR"
"Cisneros","Carlos Anibal","TUCUMAN","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Cleri","Marcos","SANTA FE","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Cobos","Julio","MENDOZA","10/12/2021","09/12/2025","UCR"
"Coli","Marcela","LA PAMPA","10/12/2021","09/12/2025","UCR"
"Cornejo","Virginia","SALTA","10/12/2019","09/12/2023","PRO"
"Costa","Anahí","CATAMARCA","16/12/2021","09/12/2023","FRENTE DE TODOS"
"Crescimbeni","Camila","BUENOS AIRES","10/12/2019","09/12/2023","PRO"
"Daives","Ricardo Daniel","SANTIAGO DEL ESTERO","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Daldovo","Nelly Ramona","FORMOSA","19/12/2019","09/12/2023","FRENTE DE TODOS"
"Dantas","Pedro Cristian","RIO NEGRO","27/03/2021","09/12/2023","FRENTE DE TODOS"
"de la Sota","Natalia","CORDOBA","10/12/2021","09/12/2025","CÓRDOBA FEDERAL"
"de Loredo","Rodrigo","CORDOBA","10/12/2021","09/12/2025","EVOLUCION RADICAL"
"De Marchi","Omar","MENDOZA","10/12/2019","09/12/2023","PRO"
"Del Caño","Nicolás","BUENOS AIRES","10/12/2021","09/12/2025","PTS - FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD"
"Del Plá","Romina","BUENOS AIRES","10/12/2021","09/12/2025","PARTIDO OBRERO – FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD"
"Di Giacomo","Luis","RIO NEGRO","10/12/2019","09/12/2023","JUNTOS SOMOS RIO NEGRO"
"Domingo","Agustín","RIO NEGRO","10/12/2021","09/12/2025","JUNTOS SOMOS RIO NEGRO"
"El Sukaria","Soher","CORDOBA","10/12/2019","09/12/2023","PRO"
"Espert","José Luis","BUENOS AIRES","10/12/2021","09/12/2025","AVANZA LIBERTAD"
"Espil","Santiago Eugenio","BUENOS AIRES","05/07/2023","09/12/2023","COALICIÓN CÍVICA"
"Estevez","Gabriela Beatriz","CORDOBA","10/12/2019","09/12/2023","FRENTE DE TODOS"
"Estévez","Enrique","SANTA FE","10/12/2019","09/12/2023","SOCIALISTA"
"Estrada","Emiliano","SALTA","10/12/2021","09/12/2025","FRENTE DE TODOS"
"Fagioli","Federico","BUENOS AIRES","19/12/2019","09/12/2023","FRENTE DE TODOS"
"Fein","Mónica","SANTA FE","10/12/2021","09/12/2025","SOCIALISTA"
